track_id,x,y
1,227,326
1,228,322
1,228,322
1,227,323
1,225,323
1,220,325
1,215,327
1,212,329
1,211,332
1,212,334
1,213,335
1,214,335
1,215,336
1,216,335
1,216,334
1,219,332
1,223,333
1,227,333
1,230,333
1,234,331
1,239,329
1,244,328
1,249,326
1,253,325
1,255,325
1,255,326
1,255,327
1,257,326
1,259,326
1,260,326
1,260,324
1,260,323
1,263,319
1,271,315
1,276,314
1,276,311
1,281,310
1,285,311
1,288,313
1,291,314
1,294,313
1,300,313
1,303,314
1,306,314
1,307,314
1,309,318
1,314,316
1,318,313
1,320,312
1,317,313
1,314,313
1,316,313
1,326,313
1,329,313
1,332,313
1,338,312
1,340,311
1,341,311
1,342,310
1,342,308
1,344,306
1,350,305
1,354,304
1,356,304
1,357,304
1,361,302
1,367,301
1,370,301
1,372,301
1,373,300
1,374,301
1,377,302
1,380,303
1,383,307
1,389,309
1,394,310
1,397,308
1,399,307
1,399,303
1,399,301
1,400,302
1,402,302
1,403,301
1,405,301
1,407,300
1,407,298
1,406,299
1,406,299
1,408,298
1,411,295
1,413,292
1,413,289
1,412,288
1,414,288
1,416,286
1,421,284
1,423,281
1,425,279
1,427,276
1,429,275
1,432,276
1,435,276
1,438,277
1,443,277
1,445,277
1,441,279
1,441,279
1,442,279
1,445,279
1,449,279
1,452,279
1,452,279
1,448,280
1,443,281
1,442,282
1,443,277
1,441,271
1,438,270
1,433,264
1,425,261
1,419,258
1,411,257
1,404,254
1,399,253
1,395,251
1,392,247
1,388,244
1,387,241
1,385,238
1,385,234
1,387,230
1,390,229
1,395,229
1,398,227
1,403,226
1,405,225
1,407,223
1,410,223
1,412,224
1,413,225
1,412,226
1,411,227
1,409,226
1,410,227
1,410,227
1,410,224
1,407,223
1,409,223
1,412,223
1,414,223
1,415,224
1,414,225
1,413,225
1,411,226
1,408,229
1,406,230
1,409,233
1,409,235
1,413,237
1,418,237
1,419,240
1,422,242
1,422,243
1,423,242
1,423,241
1,424,248
1,425,249
1,427,253
1,427,255
1,429,258
1,429,261
1,428,264
1,427,265
1,426,266
1,422,272
1,418,273
1,415,273
1,411,273
1,407,279
1,403,283
1,402,285
1,402,289
1,402,293
1,403,297
1,402,300
1,403,303
1,403,306
1,403,308
1,404,310
1,406,308
1,406,308
1,408,309
1,408,305
1,406,303
1,403,301
1,403,297
1,403,295
1,404,293
1,404,290
1,404,289
1,404,286
1,403,283
1,401,280
1,398,278
1,395,273
1,393,271
1,392,269
1,391,267
1,389,265
1,388,264
1,387,262
1,384,261
1,382,261
1,380,259
1,379,259
1,378,259
1,377,259
1,377,260
1,378,261
1,380,260
1,381,259
1,380,258
1,379,256
1,380,255
1,381,255
1,381,256
1,381,258
1,380,259
1,381,260
1,383,260
1,387,262
1,392,260
1,397,257
1,399,253
1,399,250
1,397,246
1,393,242
1,393,241
1,394,238
1,393,247
1,391,255
1,387,262
1,384,270
1,380,272
1,373,277
1,371,281
1,372,283
1,376,282
1,381,283
1,384,287
1,382,290
1,382,286
1,383,282
1,387,281
1,388,281
1,392,282
1,394,282
1,396,280
1,397,279
1,395,279
1,390,285
1,383,295
1,379,304
1,377,315
1,379,323
1,381,333
1,383,341
1,384,347
1,383,355
1,382,361
1,381,365
1,379,369
1,379,373
1,378,376
1,379,385
1,380,387
1,380,385
1,380,381
1,378,378
1,377,378
1,375,374
1,371,371
1,371,365
2,732,440
2,731,442
2,730,441
2,728,440
2,727,440
2,726,439
2,724,439
2,723,439
2,722,439
2,721,440
2,721,441
2,719,441
2,717,443
2,715,443
2,714,444
2,715,445
2,719,442
2,722,438
2,723,438
2,720,438
2,712,438
2,704,437
2,697,437
2,693,435
2,690,434
2,688,433
2,688,433
2,687,434
2,686,435
2,683,434
2,682,434
2,680,434
2,676,433
2,671,433
2,665,433
2,659,434
2,652,434
2,645,436
2,639,438
2,636,439
2,629,438
2,620,439
2,613,439
2,607,438
2,601,438
2,598,439
2,597,438
2,595,439
2,594,440
2,592,440
2,589,440
2,588,439
2,582,438
2,578,438
2,571,438
2,564,438
2,558,437
2,553,436
2,546,436
2,536,435
2,527,436
2,521,437
2,516,438
2,512,440
2,509,440
2,508,440
2,506,440
2,504,440
2,502,440
2,498,440
2,493,439
2,488,439
2,478,437
2,469,437
2,461,441
2,455,443
2,445,444
2,436,445
2,425,444
2,417,445
2,412,445
2,409,447
2,406,448
2,403,451
2,399,452
2,395,453
2,384,456
2,381,455
2,375,455
2,364,453
2,355,452
2,346,450
2,334,450
2,327,450
2,316,450
2,305,453
2,299,459
2,294,466
2,288,474
2,283,475
2,283,470
